emotion,dist_l,dist_r,dist_eyes,dist_mouth_nose,hght_mouth,wdth_mouth
n,50.5964425627,42.7200187266,157.012738337,83,64,222
n,47.9270278653,40.5215991787,153.003267939,82,66,224
n,43.931765273,40.8044115262,157.003184681,79,70,222
n,48.8466989673,39.2173431023,155.012902689,82,63,214
n,51.2640224719,40.5215991787,151.029798384,82,64,219
n,46.8401537145,41.9761837236,153.029408938,80,69,214
n,51.6236379966,40.5215991787,154.003246719,78,68,216
n,50.3289181286,41.7612260356,155.012902689,76,70,220
n,47.4341649025,41.2310562562,152.013157325,79,70,211
n,49.7694685525,42.1544778167,153.013071337,81,68,227
n,46.8401537145,42.3792402008,155.003225773,77,71,230
n,53.3666562565,49.4772675074,150.013332741,75,71,225
n,49.8196748283,47.539457296,156.012819986,76,79,244
h,46.872166581,49.6487663492,156.051273625,78,83,256
h,68.1175454637,66.0302960769,153.05227865,75,80,258
su,71.0281634283,69.1158447825,154.003246719,73,106,258
su,75.0599760192,73.2461603089,152.029602381,68,116,265
su,74.1080292546,73.2461603089,152.013157325,73,112,255
su,73.2461603089,73.2461603089,155.02902954,76,109,266
su,73.0616178304,73.0616178304,154.029218007,72,104,259
su,73.0068489938,71.0070419043,151.052970841,67,117,261
su,73.0,73.0616178304,153.05227865,69,114,260
n,82.8613299435,84.3089556334,165.027270474,93,71,183
h,80.3616824115,74.0270220933,168.01190434,66,108,243
sa,79.3788384899,73.0616178304,165.0,99,69,188
su,77.9294552785,74.0270220933,168.002976164,95,98,201
a,73.3893725276,66.0302960769,165.003030275,95,67,184
n,98.0306074652,98.6154146166,156.012819986,91,67,189
n,83.1685036537,79.0253124005,167.047897323,92,71,191
n,76.1183289359,81.859635963,169.026625122,94,71,193
n,80.8949936646,76.1051903618,167.026943934,88,73,187
n,82.5408989532,84.5813218152,165.027270474,90,67,189
n,77.7817459305,81.859635963,167.026943934,94,64,190
n,83.5224520713,85.8661749468,164.027436729,92,66,188
n,82.5408989532,83.1925477432,164.012194669,92,69,190
n,81.6088230524,82.7647267862,168.026783579,91,72,194
n,82.5651258099,83.7735041645,166.027106221,91,74,188
n,84.4334057112,84.5813218152,164.012194669,89,73,187
n,83.1685036537,84.5813218152,168.01190434,91,72,194
n,77.6466354712,76.0065786626,167.011975619,88,73,191
n,80.9938269253,73.0616178304,169.011833905,88,70,187
n,80.9938269253,74.0067564483,169.011833905,90,71,193
n,78.1856764376,77.0778826902,167.011975619,93,71,190
n,81.3449445264,84.0773453434,166.003012021,93,73,190
h,83.1685036537,83.1925477432,167.002993985,88,73,200
h,83.3846508657,78.0,168.0,74,96,224
h,81.8840643837,76.0065786626,168.002976164,73,98,228
h,79.6303962065,75.0066663704,168.0,68,101,230
h,82.2800097229,74.0270220933,169.002958554,65,107,242
h,76.9415362467,72.0069441096,167.002993985,62,111,242
h,77.5241897733,73.027392121,165.003030275,67,111,249
h,78.4091831357,75.0066663704,169.002958554,65,109,244
h,76.6550715869,71.0281634283,168.002976164,66,101,245
h,76.5310394546,71.0,170.0,65,107,242
h,76.6550715869,73.0068489938,172.002906952,65,104,243
h,79.6994353807,72.0069441096,168.01190434,69,102,245
h,75.5380698721,71.0633520178,168.002976164,62,105,243
h,79.6303962065,73.0068489938,166.003012021,67,107,243
h,77.7817459305,72.1110255093,170.026468528,69,105,241
h,75.5380698721,71.0633520178,167.011975619,67,104,240
h,79.4040301244,74.1687265632,167.002993985,65,103,240
h,80.956778592,74.0270220933,169.011833905,68,104,240
h,74.6726188104,72.0624728968,173.0,69,100,236
n,74.8131004571,71.0070419043,170.0,81,91,212
n,78.7464284904,74.0270220933,169.002958554,92,78,192
n,81.9084855189,76.0,168.002976164,96,76,190
n,82.2192191644,76.0065786626,168.0,94,78,190
sa,84.1189633793,78.0256368125,171.011695506,99,73,187
sa,80.956778592,84.0951841665,166.027106221,98,72,184
sa,82.2192191644,82.7647267862,167.026943934,99,68,186
